qnumq;sexe;aget;matrim;pratique;enf;activite;prof;dipl;vote;habitat;localite;revenu;region;K1
3041;femme;30-39ans;En_couple;Rrelig_non;avecEnfant;actif;prof_interm;prof;ecolo_oui;individuel;Bourg;rev3;Seine;le respect de la nature
4932;homme;40-49ans;En_couple;Relig_occas;avecEnfant;actif;prof_interm;prof;ecolo_non;individuel;Bourg;rev3;Seine;propreté de l'ensemble, pas d'odeur
2189;homme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;Bac;ecolo_non;individuel;GV;rev3;Bretagne;ce qui est autour de moi
910;homme;40-49ans;En_couple;Rrelig_non;avecEnfant;actif;commerc;prof;ecolo_non;collectif;GV;RevNSP;Mediterrannée;que chacun puisse avoir un peu de verdure autour de soi, escroquerie politique, ville, campagne
2275;homme;60ans+;En_couple;Relig_regul;avecEnfant;inactif;retraite;Supérieur;ecolo_oui;individuel;Bourg;rev4;S_Ouest;l'eau, l'air, la terre
3307;femme;50-59ans;Seul;Rrelig_non;avecEnfant;chomeur;inactif;Supérieur;ecolo_oui;individuel;Bourg;rev2;Jura_Alpes;le lieu dans lequel on vit, campagne, la nature
5336;femme;20-29ans;Seul;Relig_occas;sansEnfant;actif;employe;Supérieur;ecolo_non;individuel;Bourg;rev3;S_Ouest;nature, écologie, animaux
1807;femme;60ans+;En_couple;Relig_occas;avecEnfant;actif;commerc;Be;ecolo_non;individuel;Ville;rev3;Nord;les arbres, un jardin, le soleil, le voisinage, le calme
4097;homme;60ans+;En_couple;Relig_occas;avecEnfant;inactif;retraite;NOdip;ecolo_oui;individuel;Rural;rev2;Bretagne;la nature, le jardins
4661;homme;50-59ans;Seul;Rrelig_non;sansEnfant;actif;cadre_lib;Supérieur;ecolo_oui;individuel;Bourg;RevNSP;S_BassinParis;la nature, le vert
2240;homme;30-39ans;Seul;Relig_occas;avecEnfant;chomeur;inactif;prof;ecolo_oui;collectif;Ville;rev2;S_Ouest;le voisinage, les bavardages, les concours
2266;femme;40-49ans;En_couple;Rrelig_non;avecEnfant;inactif;inactif;Cep;ecolo_oui;individuel;Bourg;rev2;S_Ouest;tou ce qui m'entoure, la maison, la vie de tous les jours
1593;femme;60ans+;En_couple;Rrelig_non;avecEnfant;inactif;inactif;prof;ecolo_non;individuel;PGV;rev4;Nord;côté agréable, avoir des voisins sympathiques, des endroits qui plaisent
2146;homme;60ans+;En_couple;Rrelig_non;sansEnfant;actif;employe;NOdip;ecolo_non;collectif;PGV;rev2;Seine;cadre de vie
1561;femme;50-59ans;Seul;Rrelig_non;avecEnfant;actif;commerc;prof;ecolo_oui;collectif;Ville;rev3;Nord;tout ce qu'il y a d'agréable autour de moi
